fips,state,county,year,tot_pop,tot_male,tot_female,nh_male,nh_female,h_male,h_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,cx,cy
01001,01,001,2010,54632,26596,28036,25882,27407,714,629,21309,22011,4584,5159,129,151,206,284,28,14,340,417,20710,21487,4538,5113,106,124,200,279,10,5,318,399,599,524,46,46,23,27,6,5,18,9,22,18,840.3567355,548.9552788
01003,01,003,2010,183195,89655,93540,85189,89928,4466,3612,78715,81743,8455,8951,660,678,553,839,72,53,1200,1276,74661,78503,8327,8816,555,587,541,825,47,41,1058,1156,4054,3240,128,135,105,91,12,14,25,12,142,120,818.7399909,603.623831
01005,01,005,2010,27411,14544,12867,13777,12275,767,592,7437,6495,6789,6117,82,70,63,53,24,15,149,117,6811,5993,6742,6078,31,38,57,49,10,8,126,109,626,502,47,39,51,32,6,4,14,7,23,8,872.7397881,565.153258
01007,01,007,2010,22867,12272,10595,11982,10482,290,113,9025,8472,3085,1980,46,40,24,19,12,2,80,82,8771,8383,3068,1963,39,38,24,17,2,0,78,81,254,89,17,17,7,2,0,2,10,2,2,1,827.3292214,536.8075317
01009,01,009,2010,57338,28365,28973,25789,26899,2576,2074,27400,27972,428,411,151,153,64,94,34,25,288,318,24977,25999,380,369,113,136,55,85,9,12,255,298,2423,1973,48,42,38,17,9,9,25,13,33,20,837.9343873,506.7779578
01011,01,011,2010,10890,5893,4997,5497,4691,396,306,1741,1083,3977,3744,42,56,26,23,28,21,79,70,1478,872,3917,3706,15,29,22,20,3,3,62,61,263,211,60,38,27,27,4,3,25,18,17,9,864.2535041,559.3103472
01013,01,013,2010,20951,9834,11117,9724,11022,110,95,5502,5952,4144,4970,30,36,84,83,3,3,71,73,5429,5884,4117,4947,25,34,83,82,0,2,70,73,73,68,27,23,5,2,1,1,3,1,1,0,841.6560463,571.7645879
01015,01,015,2010,118510,57167,61343,54986,59543,2181,1800,44137,46372,11382,13182,306,249,359,524,60,56,923,960,42355,44904,11223,13048,243,211,336,500,39,37,790,843,1782,1468,159,134,63,38,23,24,21,19,133,117,856.0068064,511.1676215
01017,01,017,2010,34157,16321,17836,15990,17614,331,222,9903,10331,6115,7193,37,46,90,80,14,15,162,171,9678,10169,6060,7159,27,37,76,77,5,9,144,163,225,162,55,34,10,9,14,3,9,6,18,8,869.2993992,534.814832
01019,01,019,2010,25991,12887,13104,12715,12917,172,187,11984,12249,639,609,72,50,32,40,3,3,157,153,11836,12094,632,594,63,42,31,37,0,0,153,150,148,155,7,15,9,8,1,3,3,3,4,3,860.3190929,499.0467947
01021,01,021,2010,43682,21619,22063,19643,20621,1976,1442,19025,19452,2155,2201,99,82,68,85,60,32,212,211,17276,18155,2064,2130,65,60,53,77,7,11,178,188,1749,1297,91,71,34,22,15,8,53,21,34,23,837.695231,540.025782
01023,01,023,2010,13820,6668,7152,6629,7118,39,34,3788,3934,2816,3159,15,14,12,12,0,0,37,33,3756,3907,2810,3152,14,14,12,12,0,0,37,33,32,27,6,7,1,0,0,0,0,0,0,0,802.2943238,567.5154562
01025,01,025,2010,25763,12198,13565,12050,13440,148,125,6868,7206,5159,6183,47,53,38,43,7,4,79,76,6765,7132,5131,6145,40,47,36,41,2,1,76,74,103,74,28,38,7,6,2,2,5,3,3,2,813.7372912,576.4867293
01027,01,027,2010,13897,6811,7086,6581,6925,230,161,5648,5861,1008,1063,31,34,17,18,1,1,106,109,5435,5719,995,1048,29,31,16,18,0,0,106,109,213,142,13,15,2,3,1,0,1,1,0,0,856.9437991,525.7649655
01029,01,029,2010,14988,7461,7527,7267,7412,194,115,7102,7150,243,262,32,28,8,21,8,1,68,65,6922,7046,240,256,30,28,8,21,0,0,67,61,180,104,3,6,2,0,0,0,8,1,1,4,863.8622997,512.932183
01031,01,031,2010,50104,24765,25339,22900,23989,1865,1350,19372,19441,4068,4461,351,363,227,433,159,67,588,574,17910,18353,3958,4369,283,305,218,423,31,19,500,520,1462,1088,110,92,68,58,9,10,128,48,88,54,859.6369931,580.1794926
01033,01,033,2010,54433,26165,28268,25539,27745,626,523,21459,22808,4058,4779,130,127,101,144,19,22,398,388,20953,22392,4005,4731,113,115,93,133,9,13,366,361,506,416,53,48,17,12,8,11,10,9,32,27,806.6934642,488.7218111
01035,01,035,2010,13202,6391,6811,6303,6741,88,70,3462,3381,2834,3319,32,33,12,18,2,2,49,58,3397,3342,2816,3296,29,27,12,18,0,1,49,57,65,39,18,23,3,6,0,0,2,1,0,1,834.8166902,581.6810336
01037,01,037,2010,11556,5744,5812,5618,5728,126,84,3886,3864,1751,1847,37,22,14,20,4,5,52,54,3795,3811,1735,1828,26,19,14,20,0,0,48,50,91,53,16,19,11,3,0,0,4,5,4,4,848.7373371,536.4762049
01039,01,039,2010,37776,18299,19477,18020,19225,279,252,15629,16534,2231,2526,112,100,75,84,7,8,245,225,15418,16337,2208,2501,93,86,68,81,1,5,232,215,211,197,23,25,19,14,7,3,6,3,13,10,848.772126,585.7994993
01041,01,041,2010,13857,6679,7178,6553,7073,126,105,4954,5195,1486,1767,40,43,105,73,2,3,92,97,4852,5125,1475,1749,32,34,103,71,1,1,90,93,102,70,11,18,8,9,2,2,1,2,2,4,850.6085779,571.497072
01043,01,043,2010,80459,39749,40710,37800,39163,1949,1547,38470,39398,503,452,232,218,128,202,21,26,395,414,36677,37971,444,412,197,188,120,199,6,12,356,381,1793,1427,59,40,35,30,8,3,15,14,39,33,830.2667953,503.2545145
01045,01,045,2010,50358,24888,25470,23323,24172,1565,1298,19224,18943,4602,5236,221,183,163,382,27,27,651,699,17920,17890,4492,5130,175,157,156,373,19,20,561,602,1304,1053,110,106,46,26,7,9,8,7,90,97,868.7721802,578.368986
01047,01,047,2010,43790,20235,23555,20050,23411,185,144,6109,6710,13862,16585,47,44,76,69,12,10,129,137,6006,6647,13811,16529,36,36,72,65,4,6,121,128,103,63,51,56,11,8,4,4,8,4,8,9,829.5757175,556.2140146
01049,01,049,2010,71151,35124,36027,30085,31444,5039,4583,32556,33383,648,658,730,756,117,158,320,289,753,783,28415,29644,523,532,393,449,74,111,20,27,660,681,4141,3739,125,126,337,307,43,47,300,262,93,102,854.6430746,491.171858
01051,01,051,2010,79549,38815,40734,37735,39655,1080,1079,29818,31671,8091,7980,170,161,211,320,35,39,490,563,28910,30774,8013,7890,135,130,204,313,21,22,452,526,908,897,78,90,35,31,7,7,14,17,38,37,852.1616784,546.0134055
01053,01,053,2010,38292,19754,18538,19297,18233,457,305,12141,11926,6629,5643,616,628,48,70,14,18,306,253,11774,11714,6588,5603,603,615,40,55,7,9,285,237,367,212,41,40,13,13,8,15,7,9,21,16,831.8251828,590.9652852
01055,01,055,2010,104462,50642,53820,48744,52304,1898,1516,41674,43752,7427,8545,298,241,374,369,169,133,700,780,40239,42602,7334,8456,190,165,328,340,28,23,625,718,1435,1150,93,89,108,76,46,29,141,110,75,62,850.4972562,503.6196968
